"","Average.Pit.Stop","Hard","Medium","Soft","Super.soft","Ultra.soft","Wet","Intermediate","FirstPosition","SecondPosition","ThirdPosition","Started","Classified","Complete","Full.seasons.laps.led","Driver.s.season.laps.led","Accident","Penalties.due.to.driver","Penalties.due.to.team","No.action","AvgPolPos","Total.Points"
"47",1,0,0,27.6,69,0,0,3.4,0,0,0,2,1,0,0,0,1,0,0,0,17,0
"48",1,0,0,7.3,55.9,36.9,0,0,0,0,0,4,2,0,0,0,0,0,3,0,18.5,0
"49",1,0,3.5,33.8,34.8,24.7,0,3.1,0,0,0,20,12,5,0,0,4,3,2,2,11.65,54
"50",1.2,0,1.9,32,39,23.6,0,3.5,23,71,305,20,14,12,1.92,2.54,1,0,7,1,7.75,200
"51",1.26666666666667,0,0.1,42.9,28.4,26.9,0,1.6,0,0,0,15,11,1,0,0,1,4,1,0,12.27,5
"52",1.5,0,2.8,37.8,29,27.8,1,1.6,0,12,39,20,19,9,0,0,1,0,0,0,9.5,87
"53",1.52631578947368,0,3,41.3,30.7,22.4,1.7,0.9,0,0,3,19,17,5,0,0,1,1,1,3,10.26,43
"54",1.05263157894737,0,2.4,37.7,42.6,16.1,1,0.2,0,0,0,19,11,3,0,0,2,1,7,0,12.74,17
"56",1.0625,0,0.3,43.1,33.1,19.4,1.7,2.4,0,0,1,16,11,2,0,0,1,2,3,3,15.13,8
"57",1.4,0,3,34.7,37.5,22.2,1.1,1.5,0,0,3,20,15,4,0,0,1,4,0,4,14.2,19
